0,44
1,35
2,26
3,64
4,43
5,65
6,74
7,81
8,109
9,263
10,214
11,319
12,565
13,521
14,495
15,770
16,641
17,851
18,990
19,896
20,892
21,909
22,946
23,843
24,837
25,752
26,697
27,657
28,599
29,788
30,564
31,648
32,508
33,515
34,616
35,475
36,504
37,428
38,466
39,469
40,393
41,310
42,342
43,396
44,281
45,271
46,232
47,296
48,260
49,207
50,220
51,173
52,159
53,210
54,188
55,159
56,135
57,171
58,111
59,138
60,109
61,149
62,114
63,125
64,118
65,69
66,55
67,92
68,64
69,40
70,49
71,44
72,57
73,89
74,23
75,35
76,26
77,49
78,44
79,44
80,
